Region,SN,SN-DK,SN-DK-RU,SN-DB,SN-DB-BA,SN-DB-DD,SN-DB-MB,SN-FK,SN-FK-FD,SN-FK-FO,SN-FK-GO,SN-KA,SN-KA-BI,SN-KA-KA,SN-KA-KO,SN-KA-MO,SN-KL,SN-KL-GU,SN-KL-KA,SN-KL-ND,SN-KE,SN-KE-KE,SN-KE-SL,SN-KE-SA,SN-KD,SN-KD-KD,SN-KD-MY,SN-KD-VE,SN-LG,SN-LG-KE,SN-LG-LI,SN-LG-LD,SN-MT,SN-MT-KA,SN-MT-MA,SN-MT-RF,SN-SL,SN-SL-DA,SN-SL-PO,SN-SL-SL,SN-SE,SN-SE-BO,SN-SE-GO,SN-SE-SD,SN-TC,SN-TC-GO,SN-TC-KO,SN-TC-TD,SN-TH,SN-TH-MB,SN-TH-TD,SN-TH-TI,SN-ZG,SN-ZG-BI,SN-ZG-OU,SN-ZG-ZD
Region Name,SENEGAL,REGION DE DAKAR,RUFISQUE,REGION DE DIOURBEL,BAMBEY,DIOURBEL,MBACKE,REGION DE FATICK,FATICK,FOUNDIOUGNE,GOSSAS,REGION DE KAFFRINE,BIRKILANE,KAFFRINE,KOUNGHEUL,MALEM HODDAR,REGION DE KAOLACK,GUINGUINEO,KAOLACK,NIORO DU RIP,REGION DE KÃ‰DOUGOU,KEDOUGOU,SALEMATA,SARAYA,REGION DE KOLDA,KOLDA,MEDINA YORO FOULA,VELINGARA,REGION DE LOUGA,KEBEMER,LINGUERE,LOUGA,REGION DE MATAM,KANEL,MATAM,RANEROU,REGION DE SAINT-LOUIS,DAGANA,PODOR,SAINT-LOUIS,REGION DE SEDHIOU,BOUNKILING,GOUDOMP,SEDHIOU,REGION DE TAMBACOUNDA,GOUDIRY,KOUPENTOUM,TAMBACOUNDA,REGION DE THIES,MBOUR,THIES,TIVAOUANE,REGION DE ZIGUINCHOR,BIGNONA,OUSSOUYE,ZIGUINCHOR
Region - Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region - RegionId,SN,SN-DK,SN-DK-RU,SN-DB,SN-DB-BA,SN-DB-DD,SN-DB-MB,SN-FK,SN-FK-FD,SN-FK-FO,SN-FK-GO,SN-KA,SN-KA-BI,SN-KA-KA,SN-KA-KO,SN-KA-MH,SN-KL,SN-KL-GU,SN-KL-KA,SN-KL-ND,SN-KE,SN-KE-KE,SN-KE-SL,SN-KE-SA,SN-KD,SN-KD-KD,SN-KD-MY,SN-KD-VE,SN-LG,SN-LG-KE,SN-LG-LI,SN-LG-LD,SN-MT,SN-MT-KA,SN-MT-MA,SN-MT-RF,SN-SL,SN-SL-DA,SN-SL-PO,SN-SL-SD,SN-SE,SN-SE-BO,SN-SE-GO,SN-SE-SD,SN-TC,SN-TC-GO,SN-TC-KO,SN-TC-TD,SN-TH,SN-TH-MB,SN-TH-TD,SN-TH-TI,SN-ZG,SN-ZG-BI,SN-ZG-OU,SN-ZG-ZD
Culture,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN,MAN
Culture Name,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC,MANIOC
Culture - Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicateur,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO,PRO
Indicateur Name,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne,Production en tonne
Indicateur - Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units
Units,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes
2010,181236,4641,,1470,,,,1343,,,,644,,,,,14776,,,,,,,,4550,,,,2214,,,,,,,,2931,,,,8879,,,,322,,,,137260,,,,2208,,,
2011,154879,1569,,347,,,,1251,,,,987,,,,,15264,,,,,,,,30535,,,,6734,,,,,,,,2888,,,,7277,,,,560,,,,85139,,,,2326,,,
2012,189469,1505,,1308,,,,3540,,,,850,,,,,9657,,,,,,,,7829,,,,5355,,,,,,,,15599,,,,2693,,,,,,,,139295,,,,1836,,,
2013,146031,2345,,473,,,,4934,,,,477,,,,,2091,,,,,,,,2411,,,,6282,,,,,,,,5099,,,,1201,,,,,,,,120214,,,,505,,,
2014,257259,2625,,11250,,,,11517,,,,867,,,,,19560,,,,,,,,21293,,,,6102,,,,,,,,3265,,,,4541,,,,,,,,175740,,,,500,,,
2015,439571,5189,,5831,,,,12277,,,,4712,,,,,56782,,,,,,,,7416,,,,23566,,,,,,,,3859,,,,7975,,,,3540,,,,305969,,,,2455,,,
2016,704794,5708,,22059,,,,24593,,,,9219,,,,,57873,,,,,,,,10371,,,,30713,,,,,,,,3559,,,,11124,,,,3894,,,,522980,,,,2700,,,
2017,747472.9963,2599.2,2599.2,18801.25,1301.25,1500,16000,29425,20400,3825,5200,3646.112927,2623.112927,798,225,,69762.86,7658.75,4604.11,57500,,,,,5775.733497,230.1,5000,545.6334966,48458.44139,42910,,5548.441393,,,,,50000,50000,,,5756.898473,224.8984725,2490,3042,995.5,,768,227.5,511800,50400,70200,391200,452,153,90,209
2018,943138.0474,2859.12,2859.12,85875,38675,26800,20400,39927.5,30000,4207.5,5720,2909.486824,1731.254532,877.8,297,3.43229228,95439.521,20625,5064.521,69750,,,,,12800.22965,5500,6600,700.2296539,76530.04148,70801.5,180.1000885,5548.441393,5275,2525,2500,250,58050,55000,2500,550,6310.098473,224.8984725,2739,3346.2,1095.05,,844.8,250.25,639150,71250,85500,482400,2792,1683,900,209
2019,1030592.477,3000,3000,108072.072,60522.072,28350,19200,46261.31,32400,5482.5,8378.81,6138.9,2400,1800,1437,501.9,115965.4,30010,7205.4,78750,0,,,,13538.04,6000,6623.1,914.94,81030,75000,2280,3750,5909.57,1430,4142.07,337.5,36296.06,23546.06,9000,3750,7029.935,274.725,2712.6,4042.61,1026.18,,816,210.18,603000,83000,110000,410000,3325.01,2133.67,422.94,768.4
2020,1346474.341,3648.822946,3648.822946,114590.5437,33070.07813,39881.55735,41638.90825,47758.94443,23257.63983,14662.35671,9838.947888,6505.932165,2419.952018,3058.336496,893.37414,134.2695109,130402.5413,44747.5,25170,60485.0413,,,,,15074.18175,3228.3207,8725.584572,3120.27648,88027.14561,63794.60961,10304.448,13928.088,8003.235706,3701.25,3725.654625,576.3310813,40041.49985,32222.56485,4675,3143.935,9185.497791,1683.389084,3217.768174,4284.340533,12348.12481,,11478.86232,869.2624928,864504.181,94824.521,154538.21,615141.45,6383.689431,4530.680559,1172.58636,680.422512
2021,1328888.709,3700.971254,3700.971254,95109.71778,24149.71778,36400,34560,51823.31528,27123.51528,14709.8,9990,6805.975728,2380.042446,2779.325262,1562.222124,84.385896,114306.0086,42223.5,26848,45234.50861,1204.9,315.4,627,262.5,16141.81296,3050,9709.312958,3382.5,92470.66475,68333.26475,10319.4,13818,3103,1200,1243,660,43026.39713,34865.19713,4860,3301.2,9854.877868,1914,3749.156695,4191.721173,13959.49416,,13077.49416,882,863455.5,102235,190138.5,571082,13926.07331,11302.92371,1950.48,672.6696
2022,1322802.544,3238.349847,3238.349847,114119.113,30269.35,45500,38349.76301,47446.04252,21636.24252,14709.8,11100,5910.5918,2206.907106,2229.708822,1315.5,158.4758718,132194.7133,44782.5,25170,62242.21333,4470,1194,2376,900,12360.76361,3569,7033.806022,1757.957586,70326.71068,52449.71068,7020,10857,3403,1500,1243,660,52488.23656,41838.23656,7500,3150,10968.38099,2270.4,3348.683715,5349.297274,5881.352121,0,5047.675653,833.676468,844650.44,92226.44,183582,568842,15344.84989,12706.74029,1965.44,672.6696
